# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "CDS,ncRNA" "-g" "id" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS02705	NC_022196.1	555473	556303	+	831	498	935	1215	677	1114	899	380	374	273	728	1173	594	1325	901	627	345	321	444
HMPREF0946_RS02710	NC_022196.1	556682	557602	+	921	36	41	60	57	75	91	29	38	21	95	149	78	163	120	65	42	51	53
HMPREF0946_RS02715	NC_022196.1	557910	558314	+	405	150	249	264	188	314	342	150	108	94	701	1438	596	1769	1126	881	430	498	459
HMPREF0946_RS02720	NC_022196.1	558328	558846	+	519	52	100	136	69	160	121	31	51	38	195	511	134	479	326	212	122	154	179
HMPREF0946_RS02725	NC_022196.1	558886	559275	+	390	39	48	67	39	63	73	41	32	26	76	223	72	204	163	105	53	72	80
HMPREF0946_RS02730	NC_022196.1	559293	559541	+	249	6	7	18	7	10	5	4	4	3	28	34	16	25	11	12	6	4	11
HMPREF0946_RS02735	NC_022196.1	559508	560083	+	576	46	53	59	58	84	92	47	40	24	139	297	76	269	217	94	78	60	78
HMPREF0946_RS02740	NC_022196.1	560101	566430	+	6330	4422	3385	4543	5774	5448	6816	3934	4444	3764	4112	19987	4852	18260	10741	8333	9704	9896	11248
HMPREF0946_RS02745	NC_022196.1	566578	568091	+	1514	639	500	517	625	741	758	433	449	247	1962	1441	1706	1576	1209	1054	705	535	593
cadA	NC_022196.1	568151	569995	-	1845	665	772	1187	919	1112	1295	608	709	868	384	474	334	481	371	282	186	205	218
HMPREF0946_RS02755	NC_022196.1	570206	570427	-	222	259	426	616	295	494	429	164	198	170	137	126	141	150	127	77	61	42	49
HMPREF0946_RS02760	NC_022196.1	570430	570810	-	381	113	179	248	159	189	160	81	91	85	273	315	210	300	232	159	89	74	83
HMPREF0946_RS02765	NC_022196.1	570999	572633	+	1635	201	335	426	262	489	373	129	131	97	908	1274	795	1375	942	629	416	341	410
HMPREF0946_RS02770	NC_022196.1	572691	573554	-	864	54	78	85	69	87	101	64	48	33	99	189	89	220	169	73	73	56	71
HMPREF0946_RS02775	NC_022196.1	573768	576950	+	3183	296	552	717	533	693	656	276	250	274	642	1974	608	2017	1306	852	674	692	768
HMPREF0946_RS11060	NC_022196.1	577537	579447	+	1911	3337	4948	7441	5219	6900	6238	2446	2467	2071	143	404	142	370	164	137	102	162	137
HMPREF0946_RS02785	NC_022196.1	579472	580689	+	1218	12858	10442	12565	12418	16347	15137	7353	6021	10235	98	282	96	229	106	69	88	133	102
nifJ	NC_022196.1;NC_022196.1	580936;1382411	584502;1385980	-;-	7137	3224	2733	3858	4277	4702	5253	2558	2966	2564	4260	7273	3853	7380	4809	3828	2692	2836	3238
HMPREF0946_RS02795	NC_022196.1	584577	585971	-	1395	55	52	110	89	94	105	55	62	71	183	263	180	249	193	107	109	89	96
megL	NC_022196.1	586041	587228	-	1188	258	268	233	283	335	265	183	161	158	1194	875	984	872	568	425	325	343	388
HMPREF0946_RS02805	NC_022196.1	587342	588766	+	1425	58	44	56	74	66	81	42	38	34	204	155	217	161	129	91	54	46	38
HMPREF0946_RS02810	NC_022196.1	588845	589513	-	669	608	428	431	460	455	615	379	471	476	62	153	55	102	65	49	48	65	59
HMPREF0946_RS02815	NC_022196.1	589522	590892	-	1371	116	110	111	111	124	165	92	81	56	112	182	103	200	117	102	63	65	80
HMPREF0946_RS02820	NC_022196.1	591070	592227	+	1158	58	35	33	65	57	76	39	49	49	39	26	39	42	16	18	16	16	18
HMPREF0946_RS02825	NC_022196.1	592240	593535	+	1296	50	23	30	37	44	56	30	32	19	60	89	90	79	68	53	45	39	41
HMPREF0946_RS02830	NC_022196.1	593565	594614	+	1050	19	28	21	26	29	50	17	27	23	29	94	48	93	49	50	41	51	36
HMPREF0946_RS02835	NC_022196.1	594629	595783	+	1155	279	156	157	234	245	312	163	173	186	65	67	65	81	70	38	41	48	36
HMPREF0946_RS02840	NC_022196.1	595846	597060	-	1215	269	436	638	366	551	557	195	262	156	1523	1655	1372	1675	1136	824	459	431	573
HMPREF0946_RS02845	NC_022196.1	597318	598742	-	1425	311	318	483	315	493	446	170	183	177	9301	5937	8265	6356	4358	3196	2518	2717	3041
glsA	NC_022196.1	598795	599709	-	915	60	55	91	65	82	85	32	49	32	2718	2066	2096	2180	1508	962	685	694	779
HMPREF0946_RS02855	NC_022196.1	600030	600329	+	300	75	105	57	61	112	118	45	52	42	250	583	284	482	333	325	188	234	219
HMPREF0946_RS02860	NC_022196.1	600394	600705	+	312	457	478	452	302	457	520	286	174	372	1407	857	1696	830	628	622	396	270	339
ffh	NC_022196.1	600716	602050	+	1335	272	361	423	370	540	528	247	210	163	2098	1732	1619	1785	1301	959	574	463	601
rpsP	NC_022196.1	602096	602359	+	264	2609	3331	4046	3019	4546	4065	1793	1505	1671	12786	8532	10832	10300	7284	6575	3132	2564	3261
HMPREF0946_RS02875	NC_022196.1	602415	602684	-	270	928	1461	1620	1091	1780	1473	638	612	678	1678	1959	1397	2176	1538	1259	715	709	903
HMPREF0946_RS02895	NC_022196.1	607939	608652	+	714	25	36	49	20	32	42	14	17	15	163	274	176	288	192	155	107	115	97
HMPREF0946_RS02900	NC_022196.1	608655	611354	+	2700	1757	1034	1051	1956	1658	2325	1226	1563	1196	413	751	401	787	454	450	327	417	360
HMPREF0946_RS02905	NC_022196.1	611364	613148	+	1785	23	31	41	34	61	57	20	32	21	186	301	156	267	170	106	122	141	104
dnaE	NC_022196.1	613158	616556	+	3399	225	136	189	244	270	303	170	202	125	342	786	334	837	497	387	207	249	309
HMPREF0946_RS02915	NC_022196.1	616773	617696	+	924	72	92	87	72	114	95	33	60	45	250	340	231	394	243	201	142	137	152
HMPREF0946_RS02920	NC_022196.1	617709	618566	+	858	66	82	52	75	87	109	50	53	30	100	144	71	141	90	73	36	44	28
HMPREF0946_RS02925	NC_022196.1	618579	619397	+	819	153	163	275	156	292	246	125	79	114	282	243	237	335	196	119	120	75	123
HMPREF0946_RS02930	NC_022196.1	619405	620139	+	735	104	133	161	147	191	150	91	88	55	181	314	222	277	185	154	189	128	178
HMPREF0946_RS02935	NC_022196.1	620435	621874	+	1440	118	108	119	142	166	207	117	131	167	183	299	146	287	202	152	114	86	150
HMPREF0946_RS02940	NC_022196.1	621888	623798	+	1911	40	35	59	44	53	52	31	31	16	90	159	97	129	96	74	53	58	57
HMPREF0946_RS02945	NC_022196.1	623802	624902	+	1101	40	59	57	71	72	83	34	40	39	86	126	65	108	70	61	49	48	55
HMPREF0946_RS02950	NC_022196.1	624917	627193	+	2277	106	75	112	111	171	175	80	93	96	152	287	154	304	191	147	118	131	136
HMPREF0946_RS02955	NC_022196.1	627202	628392	+	1191	142	111	150	166	206	204	116	124	103	121	199	103	210	167	102	54	72	93
HMPREF0946_RS02960	NC_022196.1	628879	632577	+	3699	1072	578	632	1170	984	1444	863	1029	846	47	75	62	100	48	101	56	77	63
citF	NC_022196.1;NC_022196.1	632636;1731667	634186;1733226	-;-	3111	897	833	913	1038	1132	1355	677	732	846	180	828	134	912	541	394	314	433	394
citE	NC_022196.1	634189	635079	-	891	92	125	121	116	212	163	81	62	80	112	698	107	774	455	305	206	247	319
citD	NC_022196.1;NC_022196.1	635088;1734151	635372;1734453	-;-	588	122	92	69	84	104	126	58	85	99	26	123	28	151	72	50	32	45	38
citG	NC_022196.1	635549	636400	-	852	125	108	105	124	153	143	79	99	75	54	386	64	406	240	176	154	208	287
HMPREF0946_RS02985	NC_022196.1	636387	637733	-	1347	140	206	302	241	310	264	122	136	113	136	805	113	829	489	351	250	329	295
HMPREF0946_RS02990	NC_022196.1	637820	639196	-	1377	2992	2879	3832	3945	3913	4686	2270	2775	3858	1064	3088	731	3361	2160	1838	1341	1414	1391
HMPREF0946_RS02995	NC_022196.1	639367	640164	+	798	17	25	25	26	30	45	8	24	10	63	91	48	99	66	45	30	26	34
ybaK	NC_022196.1	640177	640665	+	489	214	112	125	366	265	321	229	289	233	23	47	28	57	34	47	26	26	28
HMPREF0946_RS03005	NC_022196.1	640697	641647	+	951	245	324	357	247	441	371	189	153	163	906	1643	927	1561	1091	800	512	526	711
HMPREF0946_RS03010	NC_022196.1	641835	642467	+	633	39	81	73	44	69	75	31	29	46	182	282	145	333	218	109	81	83	116
HMPREF0946_RS03015	NC_022196.1	642473	642832	+	360	9	13	20	19	24	22	10	11	3	88	167	67	174	129	91	58	46	65
HMPREF0946_RS03020	NC_022196.1	642816	643043	+	228	3	6	6	5	19	2	6	4	4	29	57	16	59	45	24	12	16	15
HMPREF0946_RS03025	NC_022196.1	643018	643665	+	648	20	45	50	39	30	39	25	11	20	178	278	145	288	175	150	77	75	95
HMPREF0946_RS03030	NC_022196.1	643679	644284	+	606	73	92	97	104	108	123	53	65	56	241	612	214	565	370	332	269	332	299
HMPREF0946_RS03035	NC_022196.1	644306	645061	+	756	44	75	83	89	112	103	36	44	41	206	371	195	352	259	165	76	94	122
ychF	NC_022196.1	645084	646178	+	1095	233	266	189	274	324	395	147	146	82	350	509	263	599	368	278	168	168	162
rpmF	NC_022196.1	646262	646441	+	180	14262	16824	25788	14335	23915	19932	9936	6789	7830	51094	43099	39650	47266	32894	23855	13578	10898	15746
HMPREF0946_RS03050	NC_022196.1	646520	647254	-	735	162	107	118	127	142	148	90	88	61	249	1130	242	1087	773	418	422	630	511
HMPREF0946_RS03055	NC_022196.1	647254	647955	-	702	28	26	24	32	27	34	22	12	16	44	62	39	86	54	41	31	28	29
HMPREF0946_RS03060	NC_022196.1	647955	648722	-	768	43	47	31	57	73	81	32	37	18	115	175	96	223	147	116	72	96	89
HMPREF0946_RS03065	NC_022196.1	648722	649639	-	918	80	54	115	86	150	153	62	68	39	127	198	132	250	166	117	87	81	99
HMPREF0946_RS03070	NC_022196.1	649649	651136	-	1488	775	592	682	930	978	1188	680	723	368	1092	326	1095	351	225	271	165	124	142
HMPREF0946_RS03075	NC_022196.1	651389	652147	-	759	396	377	462	379	558	624	225	249	225	567	746	529	737	509	455	283	273	292
HMPREF0946_RS03080	NC_022196.1	652380	653666	+	1287	215	248	353	234	291	291	103	120	111	323	617	292	635	417	388	256	244	266
HMPREF0946_RS03085	NC_022196.1	653669	654949	+	1281	92	171	171	178	251	216	120	120	55	170	462	148	419	318	266	196	208	244
HMPREF0946_RS03090	NC_022196.1	654959	656161	+	1203	54	64	104	93	108	130	41	56	34	159	279	123	280	176	128	88	84	101
HMPREF0946_RS03095	NC_022196.1	656165	656857	+	693	82	60	99	106	98	120	65	57	55	100	211	90	187	149	121	79	82	88
HMPREF0946_RS03100	NC_022196.1	657077	657499	+	423	45	87	101	64	92	87	38	45	32	136	205	111	190	158	84	55	66	54
HMPREF0946_RS03105	NC_022196.1	657576	658013	+	438	48	49	80	52	72	77	27	24	27	149	271	156	264	147	127	128	151	154
HMPREF0946_RS03110	NC_022196.1	658017	659222	+	1206	135	109	232	166	186	301	101	90	109	376	875	370	802	496	386	384	453	466
HMPREF0946_RS03115	NC_022196.1	659231	659902	+	672	173	255	258	286	381	354	155	130	156	795	1427	877	1356	825	808	840	770	951
HMPREF0946_RS03120	NC_022196.1	660140	660844	+	705	178	294	438	317	620	428	172	172	123	257	350	283	390	247	183	114	134	172
HMPREF0946_RS11070	NC_022196.1	660898	661065	+	168	30	24	22	16	30	49	12	21	10	56	73	44	86	54	77	35	45	47
HMPREF0946_RS03125	NC_022196.1	661085	661912	+	828	511	271	360	636	522	734	429	469	291	108	220	78	210	144	133	67	108	108
HMPREF0946_RS03130	NC_022196.1	661991	662815	+	825	63	107	131	100	134	126	68	55	41	256	348	193	444	275	197	128	107	143
HMPREF0946_RS03135	NC_022196.1	662948	664246	+	1299	548	376	379	696	584	811	399	562	281	132	137	121	138	95	116	100	77	84
HMPREF0946_RS03140	NC_022196.1	664305	665063	+	759	37	49	45	39	78	71	24	29	29	115	175	86	225	139	78	51	49	76
acpS	NC_022196.1	665060	665428	+	369	23	24	20	9	22	19	12	17	13	41	42	37	68	53	23	26	10	26
prfB	NC_022196.1;NC_022196.1	665512;665585	665583;666613	+;+	1101	307	218	309	352	406	485	232	282	265	163	308	130	284	194	170	107	162	128
HMPREF0946_RS03155	NC_022196.1	666734	668149	+	1416	715	526	502	653	610	771	488	611	469	262	459	222	479	343	209	128	153	179
HMPREF0946_RS03160	NC_022196.1	668130	668726	+	597	40	27	43	42	70	70	37	35	26	70	100	73	114	77	58	44	32	55
HMPREF0946_RS03165	NC_022196.1	668744	669346	+	603	19	19	23	31	33	26	11	14	8	7	26	20	19	13	11	2	3	2
HMPREF0946_RS03170	NC_022196.1	669423	670955	+	1533	376	451	307	403	603	611	252	272	204	828	1492	717	1542	1083	772	441	398	446
trpS	NC_022196.1	671108	672085	-	978	224	297	352	269	381	274	118	123	170	849	1124	635	1142	865	609	355	362	475
alr	NC_022196.1	672154	673224	-	1071	82	53	73	88	79	108	44	55	27	103	268	111	250	174	136	88	90	128
HMPREF0946_RS03185	NC_022196.1	673304	673828	-	525	770	1288	1868	1120	1502	1373	487	598	459	1525	2232	1284	2708	1738	1212	825	834	918
HMPREF0946_RS03190	NC_022196.1	674050	674964	+	915	279	325	454	273	409	434	179	140	136	1118	2221	932	2644	1724	1145	754	761	970
HMPREF0946_RS03195	NC_022196.1	674976	675917	+	942	123	164	292	172	271	230	100	77	84	660	1277	564	1292	848	570	403	531	620
pfkA	NC_022196.1	675935	676903	+	969	89	138	182	108	185	167	50	71	45	201	296	167	337	244	147	88	104	119
HMPREF0946_RS03205	NC_022196.1	676923	677219	+	297	66	51	74	84	94	84	45	51	56	76	93	81	112	85	56	31	25	21
recR	NC_022196.1	677231	677824	+	594	360	481	768	599	1208	773	321	277	189	323	484	379	515	332	277	191	175	208
HMPREF0946_RS03215	NC_022196.1	677946	681158	+	3213	142	160	165	171	305	251	139	147	105	313	526	264	538	364	271	164	173	182
HMPREF0946_RS03220	NC_022196.1	681167	681856	+	690	24	32	33	33	49	36	20	41	15	74	131	42	122	77	70	47	62	56
HMPREF0946_RS03230	NC_022196.1	681890	683763	+	1874	168	99	128	164	174	192	116	150	125	71	128	63	136	79	54	37	41	32
HMPREF0946_RS03235	NC_022196.1	684247	685143	+	897	10	5	2	6	5	6	5	5	7	5	5	4	10	4	3	0	2	4
HMPREF0946_RS10950	NC_022196.1	685271	686078	+	808	17	23	33	26	38	34	13	22	12	44	83	31	85	57	32	19	20	34
HMPREF0946_RS03255	NC_022196.1	686147	687286	+	1140	72	43	53	98	105	98	54	80	72	17	32	7	26	14	16	9	9	19
HMPREF0946_RS03260	NC_022196.1	687296	690289	+	2994	195	116	133	266	247	308	173	192	122	133	249	107	227	152	111	74	56	70
pyrR	NC_022196.1	690538	691059	+	522	251	224	312	246	287	294	135	177	171	806	913	937	1080	705	614	663	484	512
HMPREF0946_RS03270	NC_022196.1	691147	692037	+	891	163	138	133	200	188	226	128	110	138	219	326	185	407	239	212	176	203	159
HMPREF0946_RS03275	NC_022196.1	692228	693505	+	1278	191	89	148	296	230	394	166	214	151	317	887	410	816	486	418	478	707	506
carA	NC_022196.1	693523	694596	+	1074	3816	2215	2429	3553	3182	4512	2947	3581	4769	291	370	261	415	283	360	241	265	176
carB	NC_022196.1	694815	697991	+	3177	69	48	86	103	104	133	55	60	60	259	328	185	406	320	180	146	125	130
HMPREF0946_RS03290	NC_022196.1	698253	699038	+	786	42	45	50	66	35	50	32	37	50	87	99	40	139	84	80	65	39	48
HMPREF0946_RS03295	NC_022196.1	699050	699964	+	915	232	141	156	385	265	395	218	285	162	180	323	176	392	315	230	169	131	197
pyrF	NC_022196.1	699981	700694	+	714	38	22	35	39	62	38	16	12	22	57	49	53	68	51	39	15	28	33
HMPREF0946_RS03305	NC_022196.1	700684	701301	+	618	1184	778	774	1088	973	1391	851	1080	633	261	243	204	331	226	266	141	103	134
HMPREF0946_RS03310	NC_022196.1	701397	702005	+	609	44	51	82	53	64	82	34	26	21	292	416	262	518	310	233	165	173	161
rplS	NC_022196.1	702094	702444	+	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMPREF0946_RS03320	NC_022196.1	702491	703264	-	774	131	149	182	152	215	170	63	65	80	243	514	263	551	371	299	239	301	273
HMPREF0946_RS03345	NC_022196.1	708566	709279	+	714	38	70	64	67	83	90	29	20	21	107	180	77	220	125	106	49	48	48
deoD	NC_022196.1	709297	710004	+	708	120	188	255	149	249	262	65	80	71	285	411	180	444	256	209	123	115	192
HMPREF0946_RS03355	NC_022196.1	710105	711115	-	1011	44	55	68	61	83	74	28	42	23	569	153	500	177	99	80	51	60	51
pxpB	NC_022196.1	711108	711857	-	750	29	11	20	46	44	32	24	19	8	164	45	105	56	34	17	15	19	20
HMPREF0946_RS03365	NC_022196.1	711880	713067	-	1188	56	35	70	57	68	54	45	34	41	790	336	641	346	206	188	101	153	179
HMPREF0946_RS03370	NC_022196.1	713082	713855	-	774	90	60	72	83	103	131	67	51	63	830	488	767	482	272	248	350	265	302
glmS	NC_022196.1	714676	716499	+	1824	728	710	827	864	993	1010	491	467	407	3145	4355	3000	4382	2888	2353	1574	2163	1804
HMPREF0946_RS03395	NC_022196.1	716532	718286	+	1755	1863	1854	2395	2601	2847	2808	1438	1537	1348	3259	5185	3251	5481	3616	2980	2024	2267	2274
HMPREF0946_RS03400	NC_022196.1	718302	718862	+	561	358	389	683	414	655	590	234	207	191	861	861	761	936	673	529	270	227	310
HMPREF0946_RS03405	NC_022196.1	719000	720475	+	1476	1533	1717	2208	2173	2754	2795	1305	1420	865	223	694	274	714	457	334	225	314	244
HMPREF0946_RS03410	NC_022196.1	720662	721201	+	540	2362	3955	6018	3718	5810	4993	2015	1635	1094	6052	5188	4971	5778	3819	2426	1588	1346	1687
HMPREF0946_RS03415	NC_022196.1	721320	722726	+	1407	69	96	136	88	169	117	79	53	34	362	599	287	677	492	297	232	157	240
HMPREF0946_RS03420	NC_022196.1	722746	723186	+	441	22	8	5	26	22	22	22	8	9	5	2	3	2	2	3	3	2	1
HMPREF0946_RS03425	NC_022196.1	723199	724035	+	837	7	4	14	23	11	7	17	14	6	1	1	4	2	1	1	7	2	2
HMPREF0946_RS03430	NC_022196.1	724054	724896	+	843	28	13	30	21	28	23	13	8	14	33	79	35	58	31	33	9	23	31
HMPREF0946_RS03435	NC_022196.1	724912	725799	+	888	27	20	24	33	56	44	16	26	23	64	69	42	84	52	31	16	19	24
hemB	NC_022196.1	725811	726779	+	969	51	43	47	48	76	67	29	47	36	91	181	79	165	118	45	56	69	75
raiA	NC_022196.1	726851	727396	+	546	918	1651	2352	1382	2064	1946	637	747	411	2720	3715	2263	4290	3132	2083	1136	1117	1323
mutL	NC_022196.1	727536	729470	+	1935	140	146	241	213	330	235	102	106	84	1135	1718	928	1850	1316	946	556	467	607
HMPREF0946_RS03455	NC_022196.1	729481	729948	+	468	146	51	61	189	214	217	115	174	84	113	215	107	237	151	89	65	78	76
HMPREF0946_RS03460	NC_022196.1	729954	730361	+	408	23	33	20	24	44	34	11	4	19	128	172	91	166	137	82	42	50	57
HMPREF0946_RS03465	NC_022196.1	730380	731624	+	1245	68	114	156	125	209	207	76	86	60	670	930	569	1032	657	442	262	257	320
lysS	NC_022196.1	731655	733136	+	1482	345	460	664	544	785	713	296	296	299	2611	2966	2267	3115	2088	1698	1288	1179	1370
HMPREF0946_RS03475	NC_022196.1	733195	733551	+	357	9	19	15	15	7	26	7	11	7	59	86	51	104	69	61	44	39	38
HMPREF0946_RS03480	NC_022196.1	733551	734243	+	693	126	72	72	146	152	211	81	95	86	96	262	107	280	170	143	109	114	107
HMPREF0946_RS03485	NC_022196.1	734252	734860	+	609	110	109	134	135	146	170	67	90	50	171	327	146	395	264	189	110	124	163
HMPREF0946_RS03490	NC_022196.1	735065	736603	+	1539	1206	860	942	1187	1100	1448	848	987	815	2052	1929	1663	2084	1415	1032	697	828	894
HMPREF0946_RS03495	NC_022196.1	736953	737456	-	504	5655	8764	11574	8537	10639	9247	3514	4198	3431	15186	30512	14006	36742	23390	18354	11791	11594	11356
HMPREF0946_RS03500	NC_022196.1	737634	738203	+	570	111	197	191	115	205	183	79	81	64	236	435	195	398	321	182	93	99	110
HMPREF0946_RS03505	NC_022196.1	738267	741281	+	3015	85	53	70	89	98	146	90	91	73	21	54	20	58	21	26	20	38	19
miaB	NC_022196.1	741445	742752	+	1308	501	673	809	552	791	802	330	313	250	1323	4672	1127	5531	3645	2666	1588	1490	1850
rho	NC_022196.1	742775	744016	+	1242	216	254	335	250	434	362	165	184	143	415	2933	341	3284	2105	1362	1075	1274	1348
HMPREF0946_RS03520	NC_022196.1	744043	745164	+	1122	1350	1281	1778	1658	1726	2022	1041	1116	1016	906	4164	1070	4300	2672	1859	2116	2093	2351
ispG	NC_022196.1	745210	746274	+	1065	738	646	664	703	868	920	480	552	416	1902	3902	1462	4428	2755	1924	1159	970	1422
HMPREF0946_RS03530	NC_022196.1	746330	746779	+	450	328	627	666	494	622	648	289	249	272	702	3747	686	4455	3010	2128	1460	1310	1608
HMPREF0946_RS03535	NC_022196.1	746781	747089	+	309	126	204	321	153	250	198	92	79	35	494	1882	394	2333	1550	1107	624	634	754
HMPREF0946_RS03540	NC_022196.1	747107	747505	+	399	668	1550	1717	1199	1826	1571	650	699	327	1034	2877	825	3770	2542	1536	946	785	1042
HMPREF0946_RS03545	NC_022196.1	747630	747875	+	246	14529	18763	24005	19004	29300	23766	10312	8837	8125	44207	42971	36134	47464	33506	30367	15548	11824	17697
upp	NC_022196.1	747934	748557	+	624	77	95	164	107	133	146	69	67	54	168	219	153	231	165	118	72	57	88
HMPREF0946_RS03555	NC_022196.1	748786	749574	+	789	372	272	349	372	403	419	205	173	173	764	1451	1825	1334	738	853	1672	1396	1396
HMPREF0946_RS03560	NC_022196.1	749791	750801	-	1011	285	519	642	382	595	554	184	172	144	2737	1666	2116	1746	1217	902	500	509	597
HMPREF0946_RS03565	NC_022196.1	751180	752457	+	1278	620	971	1354	873	1139	1061	441	431	392	17333	8936	12842	9858	6754	4497	2577	2285	3114
lgt	NC_022196.1	752574	753440	-	867	472	768	988	718	1045	897	318	364	243	952	1696	816	1730	1188	922	683	738	877
HMPREF0946_RS03575	NC_022196.1	753465	754247	-	783	466	390	506	423	579	634	322	397	469	444	856	398	1046	706	502	416	397	468
HMPREF0946_RS03580	NC_022196.1	754252	755331	-	1080	267	385	459	342	495	455	195	262	212	866	1643	937	1769	1158	964	761	846	828
HMPREF0946_RS11405	NC_022196.1	755469	755621	-	153	62	58	41	28	42	45	37	33	26	320	440	354	405	297	270	152	142	134
fabG	NC_022196.1	756021	756740	+	720	391	594	857	592	955	831	321	301	217	2776	3853	2183	4244	2797	1857	1172	1153	1421
HMPREF0946_RS03590	NC_022196.1	756790	757998	+	1209	1854	2262	3738	3043	3736	3675	1454	1789	1007	7117	9693	5981	11653	7989	5366	3056	3094	3886
HMPREF0946_RS03595	NC_022196.1	758157	762800	-	4644	147	100	109	211	191	213	124	136	89	37	28	32	47	21	31	21	14	22
HMPREF0946_RS03600	NC_022196.1	762825	765074	-	2250	125	47	76	200	156	211	106	145	43	8	18	19	21	13	8	9	11	8
HMPREF0946_RS03605	NC_022196.1	765267	766205	+	939	370	335	364	391	506	515	252	305	112	472	843	445	913	587	439	298	359	313
HMPREF0946_RS03610	NC_022196.1	766231	767028	-	798	176	275	358	287	349	352	157	149	121	495	631	341	813	517	304	209	232	254
HMPREF0946_RS03615	NC_022196.1	767194	769545	-	2352	455	391	361	484	672	696	334	286	317	979	819	911	925	673	574	365	270	350
gmhA	NC_022196.1	769671	770255	-	585	536	728	1295	878	1071	1044	420	440	385	1243	1797	1209	1612	1059	791	744	839	911
HMPREF0946_RS03625	NC_022196.1	770272	771159	-	888	527	382	466	550	593	774	333	444	511	527	540	440	520	385	254	140	201	161
HMPREF0946_RS03630	NC_022196.1	771256	772635	-	1380	114	108	117	152	164	150	82	75	76	351	562	286	616	418	346	244	289	330
HMPREF0946_RS03635	NC_022196.1	772655	773383	-	729	27	14	37	41	34	41	13	12	13	271	347	173	399	282	170	118	114	135
argS	NC_022196.1	773407	775116	-	1710	81	64	113	117	130	138	68	65	65	641	705	469	805	565	396	243	249	297
HMPREF0946_RS03645	NC_022196.1	775413	776258	-	846	1566	1035	978	1914	1638	2156	1294	1773	712	507	795	466	829	545	582	349	391	282
HMPREF0946_RS03650	NC_022196.1	776456	777460	+	1005	287	470	563	393	671	584	169	230	187	673	1007	595	990	721	511	319	334	346
HMPREF0946_RS03655	NC_022196.1	777511	778722	-	1212	548	1024	1423	965	1292	1202	448	462	328	1185	1879	938	2353	1437	1019	556	558	678
HMPREF0946_RS03660	NC_022196.1	778886	779314	-	429	1851	3614	4430	3264	4649	3902	1434	1526	955	657	1980	567	2245	1320	888	524	543	562
